names,scores,logfoldchanges,pvals,pvals_adj,tested_group
PKMYT1,-4.1778235,-2.7533698,2.9431157237696428e-05,9.54067423445567e-05,Macrophages
PPP2R2A,-14.593377,-1.1908993,3.094902422718559e-48,3.71338851390401e-47,Macrophages
WEE1,-15.515767,-3.1436222,2.713702365231759e-54,3.5468593617034353e-53,Macrophages
TXNRD1,-28.288307,-2.194775,4.813100033136626e-176,1.684061848550739e-174,Macrophages
TXN,-38.792324,-1.0989968,0.0,0.0,Macrophages
PKMYT1,-0.17479932,0.13090457,0.8612373247435617,1.0,Langerhans cells
PPP2R2A,-3.4564185,-0.634474,0.0005474048642254245,0.003510151908250282,Langerhans cells
WEE1,-5.33524,-1.971293,9.541822493224109e-08,1.0199520220105259e-06,Langerhans cells
TXNRD1,-11.185222,-2.1105652,4.8170007958772164e-29,1.6056431794896644e-27,Langerhans cells
TXN,-28.22467,-2.3692305,2.912955509043686e-175,8.991455682915256e-173,Langerhans cells
PKMYT1,-1.5308528,-2.427951,0.12580579142173248,0.36959346781041696,Dendritic cells
PPP2R2A,-5.6513886,-0.9793478,1.5915667526779178e-08,2.0012708503399288e-07,Dendritic cells
WEE1,-6.3047194,-4.114895,2.8871611276328007e-10,4.316947690043125e-09,Dendritic cells
TXNRD1,-13.756623,-3.1402724,4.647322619704819e-43,3.6109696755106447e-41,Dendritic cells
TXN,-18.205467,-1.7578655,4.670560933571683e-74,8.095519193551595e-72,Dendritic cells
PKMYT1,-1.7088677,-25.171282,0.08747547314597386,0.2422075247478777,Granulocytes
WEE1,-5.7123985,-3.6940334,1.1139481115915002e-08,1.0480414529641451e-07,Granulocytes
PPP2R2A,-7.6066675,-1.611677,2.8125389707925855e-14,4.677117389584452e-13,Granulocytes
TXNRD1,-13.394309,-3.4692416,6.52803523961235e-41,5.003272722931466e-39,Granulocytes
TXN,-25.004446,-3.007538,5.469310825774382e-138,3.423332801032616e-135,Granulocytes
PKMYT1,-2.438108,-2.4931273,0.014764363189369079,0.051699362198298904,Fibroblasts
WEE1,-5.4296646,-0.7527709,5.6460031364458945e-08,4.661831757916282e-07,Fibroblasts
PPP2R2A,-7.2981772,-0.8123286,2.916923597544626e-13,3.821339501364712e-12,Fibroblasts
TXNRD1,-18.209597,-2.4890668,4.331234308207175e-74,3.3770139331083835e-72,Fibroblasts
TXN,-39.732597,-2.6718519,0.0,0.0,Fibroblasts
PKMYT1,-4.6076026,-1.3017596,4.0733862925029915e-06,1.0136493293573447e-05,T cells
WEE1,-18.426346,-1.9833621,8.075695705475742e-76,7.152895099508054e-75,T cells
PPP2R2A,-22.55289,-0.8789684,1.2579566174683108e-112,1.6413165293233032e-111,T cells
TXNRD1,-46.94161,-3.3880012,0.0,0.0,T cells
TXN,-89.33475,-3.2842624,0.0,0.0,T cells
PKMYT1,-2.8569326,-25.171282,0.004277564932646186,0.013826763825464999,Endothelial cell
PPP2R2A,-4.037447,-0.009067969,5.40360304689604e-05,0.00023038079662038622,Endothelial cell
WEE1,-8.472317,-2.2840319,2.4056044457272513e-17,2.702167745541982e-16,Endothelial cell
TXNRD1,-20.6497,-2.9538019,9.822720748507464e-95,7.904834522361382e-93,Endothelial cell
TXN,-41.661335,-3.109799,0.0,0.0,Endothelial cell
PKMYT1,-3.6375182,-3.2745483,0.0002752776836190065,0.0007338892623032505,B cells
WEE1,-11.281995,-1.3107852,1.6105120462356707e-29,1.1571960439358534e-28,B cells
PPP2R2A,-16.014078,-1.2551994,1.0190605556530537e-57,1.3350285756122242e-56,B cells
TXNRD1,-32.72469,-3.8438919,6.958610012344672e-235,7.361425324326878e-233,B cells
TXN,-68.1013,-4.282988,0.0,0.0,B cells
PKMYT1,-1.8513948,-4.165367,0.06411278177176276,0.18074348143456292,Mast cells
WEE1,-5.607452,-1.9437464,2.0532716046632934e-08,1.7911873429298485e-07,Mast cells
PPP2R2A,-8.317738,-1.6519222,8.96581679427249e-17,1.7192272618566735e-15,Mast cells
TXNRD1,-14.090109,-3.012981,4.3688870039047335e-45,3.786312725345591e-43,Mast cells
TXN,-27.359507,-2.9887428,8.323285462811738e-165,5.516135039221673e-162,Mast cells
PKMYT1,-2.406584,-2.8726149,0.016102496436740416,0.062246963837548776,Alveolar cell
WEE1,-3.589067,-0.5430348,0.0003318634381588286,0.0018509601118893281,Alveolar cell
PPP2R2A,-4.5564823,-0.60206956,5.201746922584203e-06,3.8104994605523355e-05,Alveolar cell
TXNRD1,-13.150031,-1.6737646,1.701040303782795e-39,8.387208132415257e-38,Alveolar cell
