,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
KRT81,0.9294,0.0706,2.5775089412682624,0.001721205,0.00022909556,0.000377012,0.5,4.6098285,4.513102,2.784154,-3.2019958,13.187705,2.4280114,0.22058325,1.0,1.0,24.984571,2.0457683,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SAXO2,0.022,0.978,3.794466772356099,1.957943e-05,2.825022e-05,0.000377012,0.5,0.49388447,0.5927372,1.9606037,-8.391173,5.9629183,0.112884805,0.10042753,1.0,1.0,1.1028298,0.85842234,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TNFRSF11B,0.022,0.978,3.794466772356099,3.5364362e-06,2.6100695e-05,0.000377012,0.5,-1.1937191,-1.1136179,2.3512585,-9.373677,4.6761894,0.025814308,0.15350091,1.0,1.0,0.24378452,1.4037663,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGLV5-45,0.0222,0.9778,3.7852124210430027,3.2241874e-06,2.7055028e-05,0.000377012,0.5,-0.23137675,0.34137154,2.8760462,-11.470194,5.3321104,0.0154712,0.13322176,1.0,1.0,0.13993707,1.6578828,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CTXN1,0.0222,0.9778,3.7852124210430027,1.3988319e-05,2.9353607e-05,0.000377012,0.5,-0.06723347,-0.00017929077,2.4027874,-8.25138,6.8915024,0.068797484,0.17165217,1.0,1.0,0.70909476,1.4343687,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
FAM167B,0.0224,0.9776,3.7760391933569974,3.7599308e-05,3.671047e-05,0.000377012,0.5,0.84481776,0.8420911,1.9613976,-7.166733,7.7690105,0.19175689,0.13833584,1.0,1.0,1.8495512,1.2006459,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SPATA17,0.0224,0.9776,3.7760391933569974,8.289276e-06,2.2907094e-05,0.000377012,0.5,-0.108208396,0.01445961,2.4557357,-10.1382885,5.6654806,0.029758967,0.117626145,1.0,1.0,0.27996415,0.9800548,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
VSIG2,0.0224,0.9776,3.7760391933569974,6.7875976e-06,2.364161e-05,0.000377012,0.5,-0.27501532,-0.14406395,2.0947466,-8.223589,4.908511,0.044430878,0.20654783,1.0,1.0,0.43410608,1.8200586,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TEKT1,0.0224,0.9776,3.7760391933569974,7.2524203e-06,1.8895531e-05,0.000377012,0.5,0.90025663,0.9203758,3.0518463,-11.127453,6.120225,0.071906865,0.05388811,1.0,1.0,0.6946258,0.42599192,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGKV1D-16,0.0228,0.9772,3.757930375060115,1.2300453e-05,3.8418428e-05,0.000377012,0.5,0.5136274,0.63025,2.547598,-9.267542,7.0814867,0.05391202,0.12303486,1.0,1.0,0.5444283,1.716487,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SUSD2,0.023,0.977,3.7489920115665334,6.8326386e-05,5.4364562e-05,0.000377012,0.5,1.2294377,1.2571573,2.1173575,-6.8745785,7.913104,0.17535152,0.26488984,1.0,1.0,1.6744722,2.3354034,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
STK33,0.023,0.977,3.7489920115665334,2.8964185e-05,3.690283e-05,0.000377012,0.5,0.63986033,0.70528984,1.7536999,-6.519087,6.486992,0.14718485,0.21656048,1.0,1.0,1.4960563,1.9178083,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
GJA4,0.023,0.977,3.7489920115665334,1.9355186e-05,2.2583696e-05,0.000377012,0.5,1.204535,1.3948932,3.0499747,-9.973965,8.608125,0.056153532,0.0585068,1.0,1.0,0.53035307,0.49015585,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SPA17,0.0232,0.9768,3.740129223327351,2.9564413e-05,4.8527123e-05,0.000377012,0.5,-0.064870305,-0.08884001,1.4900857,-6.024518,6.2489204,0.19296621,0.33932808,1.0,1.0,1.9103483,3.0435202,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MUC5AC,0.0232,0.9768,3.740129223327351,3.7597079e-06,2.8250492e-05,0.000377012,0.5,-1.2888,-0.78734875,3.08561,-12.624287,7.441472,0.039048586,0.09460446,1.0,1.0,0.40184236,0.8432498,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
PPIL6,0.0232,0.9768,3.740129223327351,3.733616e-06,2.5282223e-05,0.000377012,0.5,-1.3116536,-1.0040331,1.7755274,-8.068884,3.3777866,0.03654429,0.17607582,1.0,1.0,0.3493814,1.5218279,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CHST9,0.0232,0.9768,3.740129223327351,4.612802e-06,1.8368706e-05,0.000377012,0.5,0.24095353,0.46246052,2.637576,-11.955971,5.335085,0.03918169,0.11691506,1.0,1.0,0.39573225,0.975599,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
C4orf47,0.0234,0.9766,3.7313407121531745,2.0001795e-05,3.6993577e-05,0.000377012,0.5,-0.12793857,-0.066998005,1.46423,-5.913788,5.609334,0.104729995,0.2068469,1.0,1.0,1.033174,1.849033,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CXCL6,0.0236,0.9764,3.7226252130002213,2.1225155e-06,1.8621582e-05,0.000377012,0.5,-1.2598815,-0.7271652,2.9270937,-12.225283,8.455893,0.013974921,0.07254172,1.0,1.0,0.14528322,0.6629642,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TCF21,0.0236,0.9764,3.7226252130002213,1.2558854e-05,2.2723763e-05,0.000377012,0.5,1.0411311,1.2735777,2.8411417,-9.65691,7.090061,0.04504855,0.07949378,1.0,1.0,0.41563836,0.6673483,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
HPN,0.0238,0.9762,3.7139814928514414,1.546815e-05,2.4395207e-05,0.000377012,0.5,0.20862058,0.24493599,1.9807496,-7.074394,6.125847,0.10720481,0.18278632,1.0,1.0,1.0388457,1.6529436,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
