,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
TTK,0.9489182692307693,0.051081730769230727,2.921895572538955,1.4031078e-05,1.6080152e-06,3.0160592e-09,0.25,2.8399088,2.823491,1.6035724,-3.933384,8.567819,0.10627693965517294,0.0047340226734770155,0.056438577586207336,0.004609443129438146,0.19563609150253208,0.008424172115342103,True,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
RAD54B,0.9284855769230769,0.07151442307692313,2.5636555671586194,6.4007277e-06,7.803172e-07,3.0160592e-09,0.25,2.6552372,2.6761026,1.6386597,-4.6682796,8.984563,0.028825431034482683,0.001245795440388688,0.026131465517241305,0.001245795440388688,0.04275885725121372,0.001499442812989733,True,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
POLE2,0.922676282051282,0.07732371794871795,2.4792775924274206,9.282395e-06,2.239707e-06,3.0160592e-09,0.25,1.9574805,1.9293985,1.2383081,-3.60001,6.7751703,0.05185883620689682,0.003363647689049457,0.04431573275862087,0.003363647689049457,0.07740881011256522,0.004289542909100972,True,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
UBE2T,0.9196714743589743,0.08032852564102566,2.4378916033273303,7.225508e-05,8.105164e-06,3.0160592e-09,0.25,2.8313925,2.8788557,1.8264363,-5.5614977,7.771017,0.5647898706896498,0.03263984053818369,0.2425915948275906,0.026037124704123643,1.0653360512104424,0.043681214729506514,True,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
CHEK1,0.9180689102564102,0.08193108974358976,2.4163938173049684,1.4255394e-05,2.8270501e-06,3.0160592e-09,0.25,2.3176699,2.3485641,1.4774071,-3.419775,7.5670404,0.08647629310344906,0.019434408870063577,0.07139008620689731,0.018437772517752624,0.12890108234517808,0.02587527744356908,True,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
RFC4,0.9152644230769231,0.08473557692307687,2.3796773554286212,6.444193e-05,1.352468e-05,3.0160592e-09,0.25,2.061571,2.1110878,1.2806461,-3.6149197,6.186903,0.27922952586207117,0.03562974959511656,0.17093211206896838,0.03251526099414484,0.4311317437416015,0.05138127261680574,True,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
EME1,0.9022435897435898,0.09775641025641024,2.2224056727547836,2.6612909e-06,5.8007e-07,3.0160592e-09,0.25,2.1032717,2.0586824,1.5212568,-4.884063,7.3563576,0.019531249999999955,0.002242431792699638,0.01831896551724134,0.002242431792699638,0.026556511718484114,0.0029888592063964437,True,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
NEIL3,0.8990384615384616,0.10096153846153844,2.1865860912065447,4.681155e-06,4.604191e-07,3.0160592e-09,0.25,3.0327704,2.9731789,2.2353444,-6.036626,10.468639,0.024784482758620635,0.002242431792699638,0.020339439655172365,0.002242431792699638,0.03403552789641303,0.0026682823042317853,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
FEN1,0.8932291666666666,0.10677083333333337,2.124158297998435,4.905759e-05,1.0737889e-05,3.0160592e-09,0.25,1.9922047,2.0197887,1.4234847,-4.8228188,7.911125,0.23410560344827824,0.03974087454839925,0.13806573275862286,0.033387317802416924,0.3652160990714279,0.05600843519604626,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
XRCC2,0.8876201923076923,0.11237980769230771,2.0666595879589194,4.935489e-06,8.072858e-07,3.0160592e-09,0.25,2.2773607,2.2623968,1.69378,-4.0240536,9.480166,0.04175646551724146,0.0021178522486607694,0.036503232758620704,0.0019932727046219007,0.05534388995101548,0.0036744956207656124,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
