names,scores,logfoldchanges,pvals,pvals_adj,tested_group
BLM,-0.036067132,-0.0010216476,0.9712288294783675,1.0,Macrophages
CDC25A,-0.8939151,-2.34392,0.37136731975755954,0.6525670904186374,Macrophages
POLQ,-1.1260555,-2.0347898,0.26014201804278236,0.48376496596170787,Macrophages
FANCB,-1.6243765,-1.1964482,0.10429547559141288,0.21548596657815022,Macrophages
EME1,-1.728551,-2.911478,0.0838894852477643,0.17671139301559996,Macrophages
BRIP1,-1.8915986,-2.009112,0.05854448815669697,0.12761758262889164,Macrophages
NEIL3,-1.9468184,-3.3590703,0.05155651672529037,0.11368264912133946,Macrophages
FANCD2,-2.189924,-1.2389777,0.028529746664403787,0.06563822560639274,Macrophages
RAD54B,-2.6759315,-4.3893156,0.007452188662801368,0.01875993376593713,Macrophages
CDC25C,-3.0026474,-4.1448426,0.0026764226704128974,0.007160749469533818,Macrophages
EXO1,-3.0252423,-3.8450062,0.00248434076930844,0.006676962136787581,Macrophages
RAD54L,-3.1348045,-3.6777298,0.0017196863033635062,0.0047173789150268515,Macrophages
RAD51,-3.5812144,-2.7075891,0.0003420009672357864,0.0010086790307230332,Macrophages
XRCC2,-3.7105124,-4.0526724,0.0002068402203124886,0.0006228425343179615,Macrophages
FANCA,-4.0410476,-0.9553762,5.321293352027723e-05,0.00016850014488651024,Macrophages
POLE2,-4.4035873,-3.8082647,1.0647546808699157e-05,3.5734461161813835e-05,Macrophages
BRCA1,-5.0913067,-1.824916,3.5560438048728777e-07,1.3233416194087622e-06,Macrophages
TTK,-5.5815396,-4.1099415,2.383988683524045e-08,9.529610964315646e-08,Macrophages
CHEK1,-5.681241,-2.0225914,1.3372068983808675e-08,5.42124559935518e-08,Macrophages
FANCI,-6.666889,-2.8399377,2.612823544311237e-11,1.2234986060674377e-10,Macrophages
H2AFX,-7.484739,-0.9062732,7.168963003299462e-14,3.7619525699428685e-13,Macrophages
RRM2,-8.005535,-2.9875426,1.1894809350654196e-15,6.729242759183806e-15,Macrophages
FEN1,-11.318381,-2.418265,1.0641858025707862e-29,8.947499510943106e-29,Macrophages
TYMS,-11.925064,-2.7596526,8.761618761662065e-33,7.925554217444051e-32,Macrophages
RFC4,-14.935181,-2.7352545,1.9454532522308383e-50,2.409944922073528e-49,Macrophages
UBE2T,-23.549797,-4.1413507,1.2614034207359108e-122,3.297355368844812e-121,Macrophages
H2AFX,1.9624021,0.67931783,0.049715687731204404,0.18770837661649276,Langerhans cells
FANCA,0.7115805,0.60585195,0.4767245943709336,1.0,Langerhans cells
POLQ,0.21595997,1.0681416,0.8290189568840388,1.0,Langerhans cells
FANCB,0.047606587,0.10991879,0.9620297813230589,1.0,Langerhans cells
CDC25A,-0.04938277,0.37029305,0.960614261514796,1.0,Langerhans cells
FANCD2,-0.16430068,0.056209475,0.8694944428052793,1.0,Langerhans cells
RAD51,-0.32825947,-0.11191902,0.7427154817897434,1.0,Langerhans cells
NEIL3,-0.46361595,-0.9545741,0.642922921275593,1.0,Langerhans cells
CDC25C,-0.57718295,-1.0469471,0.5638158557881487,1.0,Langerhans cells
BRIP1,-0.60508484,-0.5101136,0.5451226377455853,1.0,Langerhans cells
EME1,-0.62316346,-1.8341991,0.5331770940842532,1.0,Langerhans cells
RRM2,-0.66068006,-0.19778846,0.5088175232719456,1.0,Langerhans cells
EXO1,-0.747496,-0.964168,0.4547642263097774,1.0,Langerhans cells
RAD54L,-0.835963,-0.9856661,0.40317570879927656,0.9366695789642333,Langerhans cells
BLM,-0.9031409,-0.7862017,0.3664511061867438,0.8804908056841435,Langerhans cells
RAD54B,-0.905184,-2.0855753,0.36536794480008605,0.878731550878465,Langerhans cells
FEN1,-0.9371635,-0.21911076,0.34867446191079243,0.8495904031492127,Langerhans cells
POLE2,-1.1477365,-1.102938,0.25107733610028016,0.6758880047813214,Langerhans cells
XRCC2,-1.1719693,-1.6136135,0.24120938210272957,0.6565218491253376,Langerhans cells
BRCA1,-1.2495708,-0.75269556,0.21145637888692648,0.5947012712754761,Langerhans cells
TYMS,-1.3706177,-0.05843665,0.17049413898472943,0.505574634177453,Langerhans cells
FANCI,-1.5675068,-1.0257959,0.11699628984092024,0.37755304948432433,Langerhans cells
TTK,-1.6359771,-1.9046664,0.10184436317245492,0.3373304476502906,Langerhans cells
CHEK1,-2.395406,-1.9138926,0.016601966813424622,0.07335139572684254,Langerhans cells
RFC4,-4.13702,-1.3316137,3.518454164147307e-05,0.0002747100751238089,Langerhans cells
UBE2T,-6.5383134,-1.7816021,6.22164685461928e-11,8.579704319163785e-10,Langerhans cells
CDC25A,-0.1788871,-1.0497377,0.8580263511772354,1.0,Dendritic cells
FANCD2,-0.37480843,-0.11274877,0.7078029530146999,1.0,Dendritic cells
POLQ,-0.47430456,-2.8950834,0.6352827341217717,1.0,Dendritic cells
FANCB,-0.63136077,-1.3682497,0.5278046527601923,1.0,Dendritic cells
EME1,-0.6699568,-3.316917,0.5028853124206836,1.0,Dendritic cells
BLM,-0.7311909,-0.47800377,0.46466253551416115,0.976883832127318,Dendritic cells
NEIL3,-0.82096386,-23.912386,0.41166685845489126,0.9014019524253892,Dendritic cells
BRIP1,-0.827078,-3.1749547,0.40819286113009245,0.8968223225277274,Dendritic cells
RAD54B,-0.9865186,-4.8502493,0.3238786837941091,0.7632250974621063,Dendritic cells
RAD54L,-1.0019014,-2.453132,0.31639123168586447,0.7502887416941258,Dendritic cells
CDC25C,-1.20698,-24.709692,0.22743985857792903,0.587314042325977,Dendritic cells
EXO1,-1.2504747,-24.640787,0.21112617645091225,0.5558899432073389,Dendritic cells
XRCC2,-1.3341799,-3.6435933,0.18214490058554278,0.4962822575853425,Dendritic cells
POLE2,-1.516138,-3.3348107,0.1294844617014079,0.37813288951760293,Dendritic cells
RAD51,-1.5310383,-3.9952846,0.12575992751038123,0.3695069039759317,Dendritic cells
FANCA,-1.8738936,-0.81066144,0.060945085514439994,0.20530357480892156,Dendritic cells
BRCA1,-2.0643597,-2.158187,0.03898363775876123,0.14090765313092182,Dendritic cells
CHEK1,-2.1102388,-1.8647776,0.03483779613036361,0.12830991503849024,Dendritic cells
TTK,-2.2091134,-5.319709,0.02716676238031848,0.10359598184391881,Dendritic cells
FANCI,-2.402938,-2.1497416,0.01626395366336065,0.06676547055866378,Dendritic cells
