,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
MACROD2,0.9678,0.032200000000000006,3.4030587015826104,0.0006689698,1.8326085e-05,9.725543e-08,0.5,6.523304,6.5771127,3.1695728,-5.90839,15.091719,2.1296747,0.18184428,1.0,1.0,20.063904,1.653409,True,B cells vs Rest,B cells,Rest,B cells
GABRP,0.5392,0.4608,0.1571224470610212,9.679649e-06,4.117636e-06,9.725543e-08,0.5,1.1648166,0.9012127,3.3268833,-11.007421,15.956867,0.059100233,0.039191984,1.0,1.0,0.4785178,0.33248648,False,B cells vs Rest,B cells,Rest,B cells
DES,0.5394,0.4606,0.1579274201473505,7.169139e-06,8.231135e-06,9.725543e-08,0.5,1.0117062,0.92977047,3.734595,-11.99934,15.13014,0.0034868328,0.02491211,1.0,1.0,0.028048256,0.21427292,False,B cells vs Rest,B cells,Rest,B cells
IGHV1-58,0.5398,0.46020000000000005,0.15953751977833575,2.7074063e-06,9.1024285e-06,9.725543e-08,0.5,-1.1641911,-0.9919996,3.466578,-15.442504,13.0146475,0.015647043,0.06381806,1.0,1.0,0.16667406,0.8315976,False,B cells vs Rest,B cells,Rest,B cells
ACTA1,0.5398,0.46020000000000005,0.15953751977833575,3.4888915e-06,2.7694148e-06,9.725543e-08,0.5,0.9359949,0.7014618,2.0715494,-6.4221325,9.366434,0.019029774,0.03215206,1.0,1.0,0.15066588,0.28191823,False,B cells vs Rest,B cells,Rest,B cells
PILRA,0.54,0.45999999999999996,0.16034264685456778,9.972417e-05,0.00010246423,9.725543e-08,0.5,0.81032974,0.78190136,2.6099584,-8.969075,10.416914,0.3562126,0.5046317,1.0,1.0,3.1040044,5.2525554,False,B cells vs Rest,B cells,Rest,B cells
FABP3,0.54,0.45999999999999996,0.16034264685456778,3.0257219e-05,3.0541265e-05,9.725543e-08,0.5,0.6855844,0.7196541,2.1959043,-8.772512,9.749572,0.24793164,0.2647426,1.0,1.0,2.1808517,2.6388483,False,B cells vs Rest,B cells,Rest,B cells
IGLV2-18,0.54,0.45999999999999996,0.16034264685456778,6.372177e-05,0.000109052206,9.725543e-08,0.5,1.4656866,1.0648232,4.587977,-17.69907,15.654855,0.28207314,0.44752213,1.0,1.0,2.6826525,5.63405,False,B cells vs Rest,B cells,Rest,B cells
CD86,0.5402,0.4598,0.1611478257925102,0.000115578805,0.0001681099,9.725543e-08,0.5,0.7768554,0.8443632,2.7152772,-8.0706215,9.395335,0.32762954,0.760023,1.0,1.0,2.7889006,8.129492,False,B cells vs Rest,B cells,Rest,B cells
TRBV16,0.5404,0.4596,0.16195305685820416,3.3148642e-06,8.0478116e-05,9.725543e-08,0.5,-1.3131803,-0.8629255,4.0266223,-18.736988,12.147896,0.004911522,0.09373116,1.0,1.0,0.037199344,0.8768936,False,B cells vs Rest,B cells,Rest,B cells
