,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
GNLY,0.9412,0.05879999999999996,2.7730136425053487,0.01941627,0.0025784732,1.0645938e-07,0.5,4.621894,4.3519506,3.042969,-3.1797872,18.851223,6.0055823,1.1872896,1.0,1.0,62.752247,11.262726,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MATK,0.911,0.08899999999999997,2.325906426145223,0.00070019014,0.00015604858,1.0645938e-07,0.5,2.9705434,2.5385385,2.2902222,-2.8980827,14.671224,2.528967,0.4717202,1.0,1.0,26.549849,4.635567,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
KRT81,0.897,0.10299999999999998,2.164326787890059,0.0005548105,7.563247e-05,1.0645938e-07,0.5,4.066562,3.87108,2.913956,-5.5014935,16.876076,2.0072403,0.18728906,1.0,1.0,20.7014,1.741587,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IL13,0.8814,0.11860000000000004,2.005754992872819,0.00048103923,8.3413855e-05,1.0645938e-07,0.5,4.634222,4.221252,3.9016676,-9.016243,21.888409,0.16804203,0.10052347,1.0,1.0,1.6620699,1.0448205,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
FGFBP2,0.8792,0.12080000000000002,1.9848760461812198,0.0016908362,0.00020967756,1.0645938e-07,0.5,5.4693594,5.413745,4.414137,-8.599866,22.912224,4.0317636,0.2882326,1.0,1.0,42.166595,2.6818461,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
KLRC1,0.878,0.122,1.9736254783241718,0.0016500992,0.00034994038,1.0645938e-07,0.5,3.7444441,3.5591564,2.9174616,-3.6236978,17.9553,2.1506276,0.4197469,1.0,1.0,22.42665,4.0276074,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
KRT86,0.8696,0.13039999999999996,1.8974266211268738,0.0023978306,0.0004940139,1.0645938e-07,0.5,3.7966492,3.716889,3.0339484,-6.2223306,19.875381,3.1903555,0.4776463,1.0,1.0,32.995975,4.477099,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CTSG,0.8644,0.13560000000000005,1.8523261869488437,0.00026232374,4.000827e-05,1.0645938e-07,0.5,4.949159,5.0401,4.108483,-8.310629,21.452484,0.23844017,0.1022371,1.0,1.0,2.3391964,1.0433367,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
PRF1,0.8622,0.13780000000000003,1.833683842762775,0.0060551506,0.0016089693,1.0645938e-07,0.5,3.1917534,2.7053885,2.7168145,-3.7080793,17.681587,5.1231804,1.141249,1.0,1.0,53.420227,10.832275,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
XCL2,0.8602,0.13980000000000004,1.8169520306443736,0.0023831325,0.00052787445,1.0645938e-07,0.5,3.7479343,3.5261054,3.1236248,-4.963016,19.54887,3.2474432,0.4864897,1.0,1.0,33.46648,4.5637064,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
NKG7,0.8486,0.15139999999999998,1.7236625374987953,0.019484386,0.005667732,1.0645938e-07,0.5,3.0960515,2.8335967,2.6726785,-5.160829,16.620224,6.4198017,1.7487264,1.0,1.0,67.01922,17.005857,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TRDV2,0.8396,0.1604,1.65525484208036,7.655555e-05,2.21856e-05,1.0645938e-07,0.5,3.188909,2.7773151,2.9730866,-7.043475,17.901897,0.5284694,0.135167,1.0,1.0,5.4637475,1.34975,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
XCL1,0.8294,0.17059999999999997,1.5813808661949658,0.0034174672,0.0007745858,1.0645938e-07,0.5,3.547972,3.4462588,3.2206504,-5.743061,19.127724,3.2132862,0.60779506,1.0,1.0,33.185833,5.705603,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MYOM2,0.8266,0.1734,1.561719792158815,6.168504e-05,1.8472634e-05,1.0645938e-07,0.5,2.2553632,2.1324973,1.9001626,-3.1076355,12.725802,1.3745028,0.17288198,1.0,1.0,14.677529,1.6726627,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
HDC,0.824,0.17600000000000005,1.5436864901890617,0.0002657539,8.576183e-05,1.0645938e-07,0.5,3.6992917,3.5684595,3.458579,-8.161779,17.677366,0.19598025,0.14431106,1.0,1.0,1.9390956,1.5158297,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CLIC3,0.8086,0.19140000000000001,1.4409388383082682,0.0016369354,0.00060544244,1.0645938e-07,0.5,2.317206,2.0641308,2.084317,-4.982263,10.653719,3.671063,1.0953773,1.0,1.0,38.31664,10.518682,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TRDV3,0.8082,0.19179999999999997,1.4383563504305688,4.0005965e-05,1.1094168e-05,1.0645938e-07,0.5,3.3496668,3.1994166,3.1496842,-7.8472605,15.451356,0.25134987,0.044341154,1.0,1.0,2.770895,0.46038187,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MS4A2,0.8026,0.19740000000000002,1.4026242926343817,0.00028982392,0.0001004806,1.0645938e-07,0.5,4.5486097,4.095249,4.8002057,-10.493069,21.042612,0.23890397,0.14152858,1.0,1.0,2.3630817,1.4912,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
GZMH,0.7996,0.20040000000000002,1.3837961960215899,0.0054687927,0.0016169281,1.0645938e-07,0.5,2.9611828,2.7406697,2.9016986,-6.024865,16.954641,4.6038723,1.0021553,1.0,1.0,48.074223,9.663246,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
RHEX,0.797,0.20299999999999996,1.3676486630343967,0.00013627746,5.486094e-05,1.0645938e-07,0.5,4.147206,3.7849522,4.459377,-10.874058,17.334919,0.13503179,0.11095149,1.0,1.0,1.3284228,1.1943836,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
ADCYAP1,0.7962,0.20379999999999998,1.3627112532695387,3.944409e-05,1.3275416e-05,1.0645938e-07,0.5,4.067672,3.5209775,4.441536,-11.08021,21.762756,0.044558924,0.042631857,1.0,1.0,0.45263815,0.47959957,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TKTL1,0.7944,0.2056,1.3516545430999383,6.52763e-05,2.2578826e-05,1.0645938e-07,0.5,2.3412833,2.0129275,2.2866297,-4.2178535,14.186591,1.3403299,0.20698698,1.0,1.0,14.021783,1.9616445,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TPSD1,0.7938,0.20620000000000005,1.3479849328671327,0.00024493044,0.000113347545,1.0645938e-07,0.5,3.981745,3.602682,4.3240166,-10.59783,19.111244,0.25256956,0.16414572,1.0,1.0,2.5519476,1.7164222,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
GZMB,0.7924,0.2076,1.3394531279829955,0.011861402,0.00463121,1.0645938e-07,0.5,2.7122521,2.4684925,2.6300182,-3.6189103,16.436506,5.595973,1.3529441,1.0,1.0,58.392433,13.236573,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
HPGDS,0.7906,0.20940000000000003,1.328545817319279,0.0004011305,0.0001269258,1.0645938e-07,0.5,3.1443992,3.123858,3.2831461,-7.5425167,15.030573,0.3771111,0.32768837,1.0,1.0,3.6961908,3.3550825,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TPSB2,0.7904,0.2096,1.3273381589286704,0.0008929742,0.00038952538,1.0645938e-07,0.5,3.7828586,3.6295714,4.045322,-9.603807,17.452744,0.64445555,0.3142275,1.0,1.0,6.506769,3.141519,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
LINC01511,0.7884,0.2116,1.3153078407193597,4.8932257e-06,1.5162705e-06,1.0645938e-07,0.5,2.6648703,2.401597,2.8917751,-5.960886,17.093357,0.016875062,0.010149171,1.0,1.0,0.16502777,0.089193285,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IL1RL1,0.783,0.21699999999999997,1.2832353091387876,0.00022392883,7.9767706e-05,1.0645938e-07,0.5,3.6325023,3.519875,4.073139,-10.047749,17.648045,0.1250109,0.14397489,1.0,1.0,1.1823708,1.4483681,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
FCGR3A,0.783,0.21699999999999997,1.2832353091387876,0.0014009082,0.00045463658,1.0645938e-07,0.5,2.9205658,2.5610576,3.0364468,-5.1427684,15.815614,3.8848035,1.0023181,1.0,1.0,40.494576,10.105655,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TPSAB1,0.7828,0.21719999999999995,1.2820586141962818,0.002172909,0.00083770783,1.0645938e-07,0.5,3.6216047,3.6580353,3.948031,-8.557064,17.494507,1.0263842,0.47040665,1.0,1.0,10.307732,4.580137,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CPA3,0.7792,0.2208,1.2610104054692066,0.0010034976,0.0005201689,1.0645938e-07,0.5,3.9861655,3.8779998,4.4181576,-10.702091,18.67501,0.53893054,0.2985938,1.0,1.0,5.3616524,3.0129144,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
