,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
NKG7,0.9222,0.07779999999999998,2.472620570897198,0.04901203,0.0071851187,0.00041688682,0.5,4.8725357,4.597774,3.4740562,-3.7954087,17.220135,6.2960777,1.5100334,1.0,1.0,65.21243,14.609881,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MUC5AC,0.0188,0.9812,3.9549189208252806,3.645692e-06,2.413169e-05,0.00041688682,0.5,-1.2693824,-0.7393751,2.998975,-11.896552,7.319413,0.039048586,0.09460446,1.0,1.0,0.40184236,0.8432498,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
KLK11,0.0188,0.9812,3.9549189208252806,2.2035254e-06,1.8439128e-05,0.00041688682,0.5,-0.8879456,-0.553648,2.740767,-10.26967,7.54589,0.012122369,0.16348374,1.0,1.0,0.12052458,1.37309,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
FNDC1,0.0188,0.9812,3.9549189208252806,6.9171174e-06,2.0337598e-05,0.00041688682,0.5,0.5884298,0.8557997,2.430863,-8.73957,6.5968847,0.011449365,0.06110552,1.0,1.0,0.1118162,0.5473376,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SPATA17,0.019,0.981,3.9441329642769514,8.503586e-06,2.2194256e-05,0.00041688682,0.5,-0.09568271,0.060035706,2.421526,-10.348374,5.705325,0.029758967,0.117626145,1.0,1.0,0.27996415,0.9800548,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
ECRG4,0.019,0.981,3.9441329642769514,9.3018325e-06,3.2227872e-05,0.00041688682,0.5,-0.47467154,-0.51181984,1.9992566,-10.410178,6.1672773,0.07275319,0.12320807,1.0,1.0,0.68354,1.0585488,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TEKT1,0.0192,0.9808,3.933457775510772,7.545322e-06,1.7459943e-05,0.00041688682,0.5,0.9301287,0.95337105,3.0012941,-11.313122,5.8175964,0.071906865,0.05388811,1.0,1.0,0.6946258,0.42599192,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
ALPG,0.0194,0.9806,3.922891057881904,2.9288174e-06,1.0422184e-05,0.00041688682,0.5,0.7632791,0.8254509,2.7869654,-10.548356,4.8459663,0.016382495,0.073447146,1.0,1.0,0.15017612,0.65475476,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
POU2F3,0.0194,0.9806,3.922891057881904,7.414163e-06,1.9238787e-05,0.00041688682,0.5,-0.44913968,-0.0009965897,3.069912,-8.570308,8.401986,0.056063082,0.20193546,1.0,1.0,0.6045454,1.7270635,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CYGB,0.0194,0.9806,3.922891057881904,3.133653e-05,3.351816e-05,0.00041688682,0.5,0.45406324,0.30964994,2.0802035,-5.876973,8.450601,0.17828695,0.1294784,1.0,1.0,1.7852196,1.1686602,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGHE,0.0198,0.9802,3.9020741999265796,7.166607e-06,1.6538163e-05,0.00041688682,0.5,0.5032843,0.78583765,2.9873612,-9.659792,6.9740067,0.050179694,0.14128695,1.0,1.0,0.4678166,1.5943489,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
